impd,age,cmgrp,valid
MILR,2,140,1
MILR,2,140,1
MILR,2,150,1
MILR,2,150,1
MILR,2,150,1
MILR,2,150,1
MILR,2,150,1
MILR,2,150,1
MILR,2,150,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,3,210,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,240,1
MILR,3,240,1
MILR,3,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,3,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,240,1
MILR,2,250,1
MILR,2,250,1
MILR,3,250,1
MILR,2,250,1
MILR,3,250,1
MILR,2,250,1
MILR,2,250,1
MILR,3,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,3,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,250,1
MILR,2,260,1
MILR,2,260,1
MILR,3,260,1
MILR,3,260,1
MILR,2,260,1
MILR,2,260,1
MILR,2,260,1
MILR,2,260,1
MILR,3,260,1
MILR,2,260,1
MILR,2,260,1
MILR,2,260,1
MILR,3,260,1
MILR,2,260,1
MILR,2,260,1
MILR,3,260,1
MILR,2,260,1
MILR,3,260,1
MILR,2,260,1
MILR,3,260,1
MILR,2,260,1
MILR,3,260,1
MILR,2,260,1
MILR,2,260,1
MILR,3,260,1
MILR,2,260,1
MILR,3,270,1
MILR,2,270,1
MILR,3,270,1
MILR,3,270,1
MILR,2,270,1
MILR,2,270,1
MILR,3,270,1
MILR,3,270,1
MILR,2,270,1
MILR,2,270,1
MILR,3,270,1
MILR,3,270,1
MILR,3,270,1
MILR,3,270,1
MILR,2,270,1
MILR,2,270,1
MILR,3,270,1
MILR,2,270,1
MILR,2,270,1
MILR,3,270,1
MILR,2,270,1
MILR,2,280,1
MILR,3,280,1
MILR,2,280,1
MILR,2,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,2,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,2,280,1
MILR,3,280,1
MILR,2,280,1
MILR,3,280,1
MILR,3,280,1
MILR,2,280,1
MILR,2,280,1
MILR,2,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,3,280,1
MILR,2,280,1
MILR,3,290,1
MILR,3,290,1
MILR,2,290,1
MILR,3,290,1
MILR,2,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,4,290,1
MILR,2,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,3,290,1
MILR,2,290,1
MILR,3,290,1
MILR,4,290,1
MILR,3,290,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,2,300,1
MILR,3,300,1
MILR,3,300,1
MILR,4,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,3,300,1
MILR,2,300,1
MILR,3,300,1
MILR,2,300,1
MILR,3,310,1
MILR,3,310,1
MILR,3,310,1
MILR,3,310,1
MILR,3,310,1
MILR,2,310,1
MILR,3,310,1
MILR,3,310,1
MILR,3,310,1
MILR,3,310,1
MILR,3,310,1
MILR,3,310,1
MILR,2,310,1
MILR,2,310,1
MILR,3,310,1
MILR,3,310,1
MILR,3,310,1
MILR,4,320,1
MILR,3,320,1
MILR,4,320,1
MILR,3,320,1
MILR,4,320,1
MILR,3,330,1
MILR,3,330,1
MILR,4,330,1
MILR,4,330,1
MILR,4,330,1
MILR,4,330,1
MILR,4,330,1
MILR,4,330,1
MILR,3,330,1
MILR,3,330,1
MILR,4,340,1
MILR,4,340,1
MILR,4,350,1
MILR,4,350,1
MILR,4,350,1
MILR,4,360,1
MILR,4,360,1
MILR,4,360,1
MILR,4,360,1
MILR,4,360,1
MILR,4,370,1
MILR,4,370,1
MILR,4,380,1
MILR,4,380,1
MILR,4,380,1
MILR,4,380,1
MILR,4,380,1
MILR,4,380,1
MILR,4,380,1
MILR,4,390,1
MILR,4,390,1
MILR,4,390,1
MILR,4,390,1
MILR,4,390,1
MILR,4,390,1
MILR,4,390,1
MILR,4,400,1
MILR,4,400,1
MILR,4,400,1
MILR,4,400,1
MILR,4,400,1
MILR,4,400,1
MILR,4,400,1
MILR,4,400,1
MILR,4,400,1
MILR,4,400,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,4,410,1
MILR,7,410,1
MILR,4,410,1
MILR,4,420,1
MILR,4,420,1
MILR,4,420,1
MILR,4,420,1
MILR,7,420,1
MILR,4,420,1
MILR,4,420,1
MILR,4,420,1
MILR,4,430,1
MILR,8,430,1
MILR,4,430,1
MILR,4,430,1
MILR,7,430,1
MILR,7,430,1
MILR,7,430,1
MILR,4,430,1
MILR,7,430,1
MILR,4,430,1
MILR,4,430,1
MILR,8,430,1
MILR,4,430,1
MILR,7,430,1
MILR,8,430,1
MILR,6,430,1
MILR,4,430,1
MILR,4,440,1
MILR,9,440,1
MILR,8,440,1
MILR,4,440,1
MILR,4,440,1
MILR,8,440,1
MILR,8,440,1
MILR,4,440,1
MILR,8,440,1
MILR,7,440,1
MILR,7,440,1
MILR,6,440,1
MILR,7,440,1
MILR,8,450,1
MILR,4,450,1
MILR,8,450,1
MILR,8,450,1
MILR,8,450,1
MILR,7,450,1
MILR,9,450,1
MILR,8,450,1
MILR,8,450,1
MILR,7,450,1
MILR,8,450,1
MILR,8,460,1
MILR,7,460,1
MILR,8,460,1
MILR,8,460,1
MILR,8,460,1
MILR,8,460,1
MILR,8,460,1
MILR,8,460,1
MILR,6,460,1
MILR,8,460,1
MILR,9,460,1
MILR,8,460,1
MILR,8,460,1
MILR,7,460,1
MILR,8,460,1
MILR,8,470,1
MILR,8,470,1
MILR,8,470,1
MILR,9,470,1
MILR,8,470,1
MILR,8,470,1
MILR,7,470,1
MILR,7,480,1
MILR,8,480,1
MILR,8,480,1
MILR,9,480,1
MILR,8,480,1
MILR,8,480,1
MILR,8,480,1
MILR,9,480,1
MILR,8,480,1
MILR,7,480,1
MILR,8,490,1
MILR,8,490,1
MILR,8,490,1
MILR,8,490,1
MILR,8,490,1
MILR,9,490,1
MILR,8,490,1
MILR,8,490,1
MILR,8,490,1
MILR,9,490,1
MILR,8,490,1
MILR,9,500,1
MILR,8,500,1
MILR,8,500,1
MILR,8,500,1
MILR,8,500,1
MILR,9,500,1
MILR,8,510,1
MILR,8,510,1
MILR,9,510,1
MILR,8,510,1
MILR,8,510,1
MILR,8,510,1
MILR,9,520,1
MILR,8,520,1
MILR,9,520,1
MILR,9,520,1
MILR,8,520,1
MILR,8,530,1
MILR,8,530,1
MILR,10,530,1
MILR,9,530,1
MILR,9,530,1
MILR,9,530,1
MILR,8,530,1
MILR,8,540,1
MILR,10,540,1
MILR,9,540,1
MILR,8,540,1
MILR,9,540,1
MILR,8,540,1
MILR,9,540,1
MILR,9,540,1
MILR,10,540,1
MILR,8,540,1
MILR,9,550,1
MILR,9,550,1
MILR,10,550,1
MILR,8,550,1
MILR,9,550,1
MILR,8,550,1
MILR,8,560,1
MILR,9,560,1
MILR,9,560,1
MILR,11,560,1
MILR,8,560,1
MILR,10,560,1
MILR,9,560,1
MILR,9,570,1
MILR,10,570,1
MILR,9,570,1
MILR,9,570,1
MILR,10,570,1
MILR,9,580,1
MILR,9,580,1
MILR,9,580,1
MILR,10,590,1
MILR,11,590,1
MILR,11,590,1
MILR,10,590,1
MILR,9,590,1
MILR,11,590,1
MILR,9,590,1
MILR,9,590,1
MILR,8,600,1
MILR,12,600,1
MILR,9,610,1
MILR,9,620,1
MILR,11,620,1
MILR,10,620,1
MILR,11,630,1
MILR,11,630,1
MILR,13,640,1
MILR,11,640,1
MILR,11,640,1
MILR,13,650,1
MILR,11,650,1
MILR,13,660,1
MILR,12,670,1
MILR,12,680,1
MILR,11,680,1
MILR,12,730,1
MILR,14,740,1
MILR,12,760,1
MILR,18,770,1
MILR,12,780,1
MILR,14,790,1
MILR,14,800,1
MILR,14,890,1
MILR,14,890,1
MILR,13,890,1
MILR,17,900,1
MILR,16,900,1
MILR,14,900,1
MILR,16,910,1
MILR,16,940,1
MILR,14,950,1
MILR,18,950,1
MILR,14,970,1
MILR,14,970,1
MILR,14,980,1
MILR,15,980,1
MILR,16,1000,1
MILR,14,1100,1
MILR,16,1170,1
MILR,2,150,1
MILR,2,150,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,160,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,170,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,180,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,190,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,200,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,3,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,3,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,210,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,3,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,220,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
MILR,3,230,1
MILR,2,230,1
MILR,2,230,1
MILR,2,230,1
